Country Name,Country Code,"2017 [YR2017] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2017 [YR2017] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2017 [YR2017] - Adjusted savings: education expenditure (% of GNI) [NY.ADJ.AEDU.GN.ZS]
Kyrgyz Republic,KGZ,71.2,1242.76964282023,5.71390360055359
Lao PDR,LAO,67.277,2423.8462031921,2.61316365817389
Latvia,LVA,74.6804878048781,15684.558518649,4.5285167416953
Lebanon,LBN,78.833,7838.34338489943,2.1
Lesotho,LSO,52.947,1232.78691893924,9.73
Liberia,LBR,63.295,698.70176435511,3.66
Libya,LBY,72.52,5792.06510994303,2.1374382
Liechtenstein,LIE,82.2585365853659,..,3.06221615634014
Lithuania,LTU,74.6707317073171,16809.6482569674,5.26114021961825
Luxembourg,LUX,82.6853658536585,104498.738671031,5.22229265595093
"Macao SAR, China",MAC,83.989,81208.882074735,3.09478008856138
Madagascar,MDG,66.311,448.400796541908,2.08
Malawi,MWI,63.279,356.717573153369,4.72472137911893
Malaysia,MYS,75.828,10117.569032569,4.57660287167737
Maldives,MDV,78.325,9801.62454193575,4.58814870580493
Mali,MLI,58.452,828.613220238384,3.74045533480575
Malta,MLT,82.4536585365854,27241.0906440045,4.73799650688022
Marshall Islands,MHL,..,3516.7143201626,6.51
Mauritania,MRT,64.464,1161.78545671604,2.93
Mauritius,MUS,74.5146341463415,10484.9083620411,4.77
Mexico,MEX,74.947,9281.10148290743,5.21283853813689
"Micronesia, Fed. Sts.",FSM,67.618,3018.39689930827,23.62883
Moldova,MDA,71.717,2724.49309280928,5.67505512206805
Monaco,MCO,..,166726.051925682,1.03
Mongolia,MNG,69.509,3671.94841892492,4.31171868709531
Montenegro,MNE,76.667,7784.06528996557,..
Morocco,MAR,76.218,3036.17106160684,5.2
Mozambique,MOZ,59.309,441.61783689092,5.38
Myanmar,MMR,66.558,1249.82875661238,1.76749295131903
Namibia,NAM,63.021,5646.45600733184,2.87896746647394
Nauru,NRU,..,8844.41714968444,..
Nepal,NPL,70.169,900.57390358461,3.24498073832921
Netherlands,NLD,81.5609756097561,48554.9922761756,4.77831919814953
New Caledonia,NCL,77.1487804878049,..,0.53888079544
New Zealand,NZL,81.6585365853659,42260.1251767853,7.37
